Streamingtjeneste,Pris
TV2 PLAY Basis,99
TV2 PLAY Basis (Med reklamer),69
TV2 PLAY Favorit (Uden reklamer),159
TV2 PLAY Favorit (Med reklamer),129
TV2 PLAY Favorit+Sport (u. reklamer),219
TV2 PLAY Favorit+Sport,189
Disney+ Standard med reklamer,49
Disney+ Standard,79
Disney+ Standard (Pris for årlig betaling),790
Disney+ Premium,109
Disney+ Premium (Pris for årlig betaling),1090
Netflix Basis,79
Netflix Standard,114
Netflix Premium,149
Viaplay (Film og Serier),149
Viaplay Total,499
SkyShowtime,89
Nordisk Film+,59
Max Basis,79
Max Standard,119
Max Premium,149
